"","SD"
"merge.rmdup.WATDE0650",0.329081166337479
"merge.rmdup.WATDE0651",0.27161992974766
"merge.rmdup.WATDE0652",0.381057452705449
"merge.rmdup.WATDE0653",0.266278583685588
"merge.rmdup.WATDE0655",0.362036695993883
"merge.rmdup.WATDE0657",0.365324242509489
"merge.rmdup.WATDE0658",0.371541024714271
"merge.rmdup.WATDE0659",0.260402579948517
"merge.rmdup.WATDE0660",0.352448480274071
"merge.rmdup.WATDE0661",0.270473240006014
"merge.rmdup.WATDE0662",0.320501046317612
"merge.rmdup.WATDE0663",0.324652739734178
"merge.rmdup.WATDE0664",0.278962553961274
"merge.rmdup.WATDE0665",0.301611720240821
"merge.rmdup.WATDE0666",0.321350681208943
"merge.rmdup.WATDE0667",0.350250857670393
"merge.rmdup.WATDE0669",0.318346540990665
"merge.rmdup.WATDE0670",0.267035858941628
"merge.rmdup.WATDE0671",0.266997879607238
"merge.rmdup.WATDE0672",0.395684868375817
"merge.rmdup.WATDE0674",0.383048266382806
"merge.rmdup.WATDE0675",0.330997713619227
"merge.rmdup.WATDE0676",0.316200033787866
